sid_id,menu_cate
1347.0,샐러드
1348.0,카레
1348.0,덮밥
1363.0,쌀국수
1363.0,비빔국수
1363.0,볶음밥
1365.0,전골
1365.0,냉면
1365.0,햄라면사리
1382.0,돈가스
1382.0,샌드위치
1382.0,베이컨
1389.0,닭볶음탕
1389.0,칼국수
1389.0,떡갈비
1401.0,
1406.0,커피
1406.0,차
1406.0,주스
1407.0,하몽
1407.0,파스타
1407.0,감바스
1440.0,커피
1440.0,스무디
1440.0,차
1447.0,치킨가라아게
1491.0,치킨가라아게
1491.0,샐러드
1491.0,감자튀김
1498.0,주스
1498.0,에이드
1498.0,커피
1505.0,소시지
1505.0,과일
1505.0,치킨
1512.0,돈가스
1512.0,우동
1512.0,함박스테이크
1515.0,돼지고기깐풍
1515.0,닭고기깐풍
1515.0,새우깐풍
1516.0,카레
1516.0,클라우드
1516.0,차
1527.0,돼지목살
1527.0,카르파치오
1527.0,데리야끼
1531.0,소고기
1531.0,돼지고기
1531.0,고수
1537.0,후라이드
1537.0,간장
1537.0,바베큐
1539.0,
1558.0,튀김
1558.0,골뱅이면
1558.0,삼겹살
1587.0,치즈
1587.0,프라이
1587.0,샐러드
1606.0,피자
1606.0,계란
1606.0,카프레제
1614.0,치킨
1614.0,조개탕
1614.0,김치찌개
1621.0,에이드
1621.0,차
1621.0,커피
1656.0,
1684.0,골뱅이면
1684.0,김치찌개
1684.0,먹태
1688.0,차
1697.0,꼬막
1697.0,회
1697.0,보쌈
1702.0,전
1702.0,도토리묵
1702.0,돈가스
1709.0,빠에야
1709.0,감바스
1709.0,홍합
1717.0,카레
1717.0,스테이크
1717.0,파스타
1733.0,에이드
1745.0,커피
1745.0,베이커리
1745.0,에이드
1768.0,비빔국수
1768.0,설렁탕
1768.0,오므라이스
1780.0,샌드위치
1780.0,에이드
1780.0,커피
1836.0,족발
1836.0,국수
1836.0,전
1842.0,숙주볶음
1857.0,한우안심
1857.0,갈비
1857.0,꽃등심
1883.0,리조또
1883.0,파스타
1883.0,샐러드
1895.0,보쌈
1895.0,바지락술찜
1895.0,덮밥
1898.0,차
1898.0,에이드
1898.0,커피
1913.0,에이드
1913.0,커피
1913.0,차
1942.0,황태구이
1942.0,라면
1942.0,비빔밥
1946.0,똠양꿍
1946.0,나시고랭
1946.0,팟타이
1966.0,스테이크
1966.0,리조또
1966.0,스테이크동
1987.0,링귀니바질페스토
1987.0,파스타
1987.0,티라미수
1991.0,
2009.0,차
2009.0,커피
2009.0,젤리
2010.0,디톡스
2023.0,덮밥
2060.0,에이드
2060.0,커피
2060.0,쿠키
2067.0,샐러드
2067.0,커피
2067.0,김밥
2099.0,김치찜
2099.0,후라이드
2099.0,먹태
2101.0,고기
2101.0,클라우드
2101.0,햄
2104.0,차돌박이라면사리모듬
2104.0,뼈
2104.0,돈가스
2107.0,라자냐
2107.0,파스타
2107.0,콜라
2180.0,
2254.0,피자
2254.0,베이커리
2254.0,파스타
2263.0,
2277.0,탕
2277.0,닭발
2277.0,꼬치
2281.0,
2293.0,돈가스
2293.0,게다리
2293.0,튀김
2333.0,과일
2333.0,치즈
2333.0,퐁듀
2361.0,규동
2361.0,덮밥
2361.0,우동
2383.0,굴
2383.0,꼬막
2383.0,돈가스
2456.0,파스타
2456.0,리조또
2456.0,하몽
2466.0,불고기
2466.0,청하
2466.0,클라우드
2488.0,초밥
2048.0,
1.0,
2051.0,
3.0,
4.0,
45.0,
2110.0,
2112.0,
75.0,
93.0,
2170.0,
2175.0,
130.0,
2193.0,
2209.0,
2226.0,
2291.0,
2309.0,
2311.0,
2317.0,
2328.0,
291.0,
346.0,
360.0,
2427.0,
2446.0,
412.0,
2460.0,
2467.0,
434.0,
2482.0,
437.0,
2486.0,
2491.0,
2499.0,
2500.0,
2527.0,
2540.0,
2545.0,
2550.0,
2551.0,
2564.0,
2568.0,
2569.0,
2613.0,
2615.0,
569.0,
2620.0,
575.0,
2638.0,
593.0,
2642.0,
2667.0,
2687.0,
657.0,
2708.0,
2711.0,
2714.0,
2715.0,
2728.0,
691.0,
2750.0,
2763.0,
2766.0,
2769.0,
2770.0,
2771.0,
2773.0,
2774.0,
2775.0,
2776.0,
2802.0,
2808.0,
2815.0,
2824.0,
2830.0,
2839.0,
2847.0,
2849.0,
2856.0,
2859.0,
2867.0,
2874.0,
2880.0,
2886.0,
2888.0,
2890.0,
2895.0,
2896.0,
2913.0,
2916.0,
2918.0,
2928.0,
2930.0,
2932.0,
2935.0,
2938.0,
2940.0,
2943.0,
2945.0,
2946.0,
2944.0,
2948.0,
908.0,
2957.0,
2956.0,
2970.0,
2978.0,
2990.0,
2992.0,
946.0,
2995.0,
2994.0,
2997.0,
2998.0,
3003.0,
3004.0,
3005.0,
3006.0,
3007.0,
3008.0,
3022.0,
3026.0,
3027.0,
3028.0,
3029.0,
991.0,
995.0,
3046.0,
3047.0,
3061.0,
3063.0,
3065.0,
3080.0,
3082.0,
3088.0,
3093.0,
3099.0,
3152.0,
3167.0,
1121.0,
3211.0,
3218.0,
3225.0,
3229.0,
3246.0,
3261.0,
3272.0,
1227.0,
3279.0,
3284.0,
3285.0,
3302.0,
3305.0,
3307.0,
3316.0,
3340.0,
1298.0,
3361.0,
3363.0,
3413.0,
3414.0,
3417.0,
3420.0,
3427.0,
3431.0,
3448.0,
1409.0,
3464.0,
3472.0,
3473.0,
3475.0,
3476.0,
1433.0,
3505.0,
1462.0,
3532.0,
3535.0,
3536.0,
3559.0,
1520.0,
3571.0,
3573.0,
3579.0,
3606.0,
3610.0,
3616.0,
1588.0,
3646.0,
1605.0,
3656.0,
3657.0,
3658.0,
3675.0,
1660.0,
3714.0,
1710.0,
1757.0,
1827.0,
1856.0,
1901.0,
1904.0,
1911.0,
2022.0,
2045.0,
3227.0,
3494.0,
3570.0,
3623.0,
3694.0,
3726.0,
3729.0,
3734.0,
3739.0,
3740.0,
3779.0,
3788.0,
3797.0,
3799.0,
3814.0,
3822.0,
3842.0,
3854.0,
3895.0,
88.0,
2154.0,
145.0,
477.0,
857.0,
1290.0,
1354.0,
1546.0,
1566.0,
1572.0,
1667.0,
1681.0,
1685.0,
1734.0,
1773.0,
1900.0,
1934.0,
1963.0,
2019.0,
111.0,
405.0,
600.0,
939.0,
3776.0,
3812.0,
3891.0,
3886.0,
3887.0,
3429.0,
3660.0,
3947.0,
3876.0,
3988.0,
3999.0,
4022.0,
4028.0,
3945.0,
3968.0,
4095.0,
3852.0,
3958.0,
4021.0,
4016.0,
4031.0,
4081.0,
4115.0,
4121.0,
3786.0,김밥
9999999.0,
,
5120.0,
5142.0,
3607.0,
3634.0,
2624.0,
5196.0,
5204.0,
3668.0,
5206.0,
5219.0,
5308.0,
5309.0,
5319.0,
4816.0,
4305.0,
5345.0,
4840.0,
4859.0,
4880.0,
5392.0,
4911.0,
5433.0,
4414.0,
4415.0,
4946.0,
4481.0,
4995.0,
5039.0,
5567.0,
5086.0,
5599.0,
5091.0,
5619.0,
4603.0,
5523.0,
4762.0,
5534.0,
5541.0,
5542.0,
4263.0,
5159.0,
5304.0,
5941.0,
5825.0,
5457.0,
5843.0,
4957.0,
4962.0,
4577.0,
5609.0,
5371.0,
6915.0,
7055.0,
6031.0,
6684.0,
5662.0,
5408.0,
5920.0,
6816.0,
6055.0,
6439.0,
5545.0,
6825.0,
4906.0,
6956.0,
6962.0,
6851.0,
6853.0,
5705.0,
7113.0,
5706.0,
6867.0,
6361.0,
7136.0,
6241.0,
7265.0,
7395.0,
5860.0,
6882.0,
6634.0,
6255.0,
7281.0,
6899.0,
7284.0,
6262.0,
6778.0,
6013.0,
7038.0,
8192.0,
8833.0,
8584.0,
7342.0,
7354.0,
7868.0,
8897.0,
4675.0,
6980.0,
4677.0,
8278.0,
7643.0,
8062.0,
3.0,파스타
34.0,치킨
34.0,스테이크
133.0,초밥
224.0,샐러드
226.0,덮밥
226.0,국수
238.0,닭발
242.0,파스타
242.0,피자
242.0,스테이크
247.0,샐러드
247.0,도시락
251.0,초밥
251.0,회
251.0,튀김
253.0,닭볶음탕
253.0,찜닭
253.0,계란말이
257.0,짬뽕
257.0,덮밥
257.0,돈가스
258.0,피자
258.0,튀김
261.0,파스타
261.0,샌드위치
261.0,샐러드
261.0,주스
262.0,치즈
263.0,반찬
265.0,디저트
269.0,초밥
269.0,샐러드
269.0,튀김
269.0,우동
269.0,회
272.0,생선
276.0,튀김
280.0,쌀국수
282.0,피자
282.0,감바스
282.0,치즈
296.0,치킨
296.0,감자튀김
299.0,커피
299.0,베이커리
301.0,장어
301.0,부대찌개
301.0,김치찌개
